Código	Nombre	Abreviatura	Siglas	Tipo	Créditos	Módulo	Materia	Semestre relativo
	Trabajo en equipo en la red	Equip	TER	B	6			1
	Programación	Prog	P	B	6			2
	Lenguajes y estándares web	Lew	LEW	O	6			1
	Diseño gráfico	DisGraf	DG	O	6			1
	Vídeo	Vid	V	B	6			1
	Inglés I	Ing-I	I-I	B	6			2
	Matemáticas para multimedia I	Mat-I	MM	B	6			2
	Programación web	ProgWeb	PW	O	6			3
	Imagen y lenguaje visual	ImLengVis	ILV	O	6			2
	Narrativa interactiva	Narr	NI	B	6			2
	Inglés II	Ing-II	I-II	O	6			3
	Matemáticas para multimedia II	Mat-II	MM-II	O	6			3
	Administración y gestión de las organizaciones	AdmGest	AGO	B	6			4
	Gráficos 3D	Graf3D	G3D	O	6			3
	Arquitectura de la información	ArqInf	AI	B	6			3
	Competencia comunicativa para profesionales de las TIC	TIC	TIC	B	6			4
	Física para multimedia	Fis	FM	O	6			4
	Fundamentos y evolución de la multimedia	Fund	FEM	B	6			1
	Animación	Anim	A	O	6			4
	Diseño de interfaces multimedia	Interf	DIM	O	6			4
	Integración digital de contenidos	Integr	IDC	O	6			5
	Redes multimedia	Red	RM	O	6			5
	Diseño de bases de datos	DisBasDat	DBD	O	6			5
	Medios interactivos	Medi	MI	O	6			5
	Tratamiento y publicación de imagen y vídeo	TyPvideo	TPIV	O	6			6
	Tratamiento y publicación de audio	TyPaudio	TPA	O	6			6
	Composición digital	Compo	CD	O	6			6
	Gestión de proyectos	GestPro	GP	O	6			6
	Mercado y legislación	MerLeg	ML	O	6			7
	Metodología y desarrollo de proyectos en red	Metod	MDPR	O	6			7
	Fotografía digital	FotoDi	FD	OP	6			6, 7 u 8
	Creatividad y estética	CreaEst	CE	OP	6			6, 7 u 8
	Animación 3D	Anim3D	A3D	OP	6			6, 7 u 8
	Visualización de información	VisInf	Vis	OP	6			6, 7 u 8
	Plataformas de publicación y distribución	PubDisMon	PDM	OP	6			6, 7 u 8
	Uso de bases de datos	UsoBasDat	UBD	OP	6			6, 7 u 8
	Sistemas de gestión de contenidos	SisGesCon	SGC	OP	6			6, 7 u 8
	Documentación audiovisual	DocAud	DA	OP	6			6, 7 u 8
	Programación web avanzada	ProgWebAv	PWA	OP	6			6, 7 u 8
	Aplicaciones RichMedia	AppInt	AIM	OP	6			6, 7 u 8
	Seguridad y calidad en servidores web	Segur	SCSW	OP	6			6, 7 u 8
	Comportamiento de usuarios	CompUs	CU	OP	6			6, 7 u 8
	Usabilidad	Usab	U	OP	6			6, 7 u 8
	Realidad virtual	ReVi	RV	OP	6			6, 7 u 8
	Diseño de la interacción	DisInt	DIM	OP	6			6, 7 u 8
	Ingeniería del software	IngSoft	IS	OP	6			6, 7 u 8
	Análisis y diseño con patrones	Patr	ADP	OP	6			6, 7 u 8
	Diseño y programación orientada a objetos	ProgOb	DPOO	OP	6			6, 7 u 8
	Prácticas I	Pract-II	PracII	OP	6			6, 7 u 8
	Prácticas II	Pract-III	PracIII	OP	6			6, 7 u 8
	Trabajo final de grado	TFG	TFG	O	12			8
	Inglés III	IngIII	I-III	OP	6			6, 7 u 8
	Iniciativa emprendedora y dirección de organizaciones	InicEmpr	IE	OP	6			6, 7 u 8
	Asignatura fantasma							
