num	competencias	tipo
1	1.Capacidad de comunicación escrita en el ámbito académico y profesional	
2	2.Uso y aplicación de las TIC en el ámbito académico y profesional	
3	3.Capacidad de trabajo en equipo	
4	4.Comunicación en lengua extranjera	
5	5.Capacidad para adaptarse a las tecnologías y a los futuros entornos actualizando las competencias profesionales	
6	6.Capacidad para innovar y generar nuevas ideas	
7	7.Capacidad para concebir y realizar guiones de productos interactivos multimedia de acuerdo con los lenguajes y técnicas apropiados	
8	8.Capacidad para crear y diseñar los elementos gráficos y visuales de un producto o aplicación multimedia usando procedimientos creativos, fundamentos básicos del diseño y un lenguaje formal	
9	9.Capacidad para conceptualizar, diseñar y evaluar las interfaces y esquemas de interacción de las aplicaciones y dispositivos de acceso a la información digital	
10	10.Capacidad para crear, modelar y animar imagen sintética 2D y 3D	
11	11.Capacidad de capturar, almacenar y modificar información de audio, imagen y vídeo digitales aplicando principios y métodos de realización y composición del lenguaje audiovisual	
12	12.Capacidad para usar de forma apropiada los lenguajes de programación y las herramientas de desarrollo para el análisis, diseño e implementación de aplicaciones	
13	13.Capacidad de organizar y gestionar la información utilizando tecnologías de bases de datos, lenguajes y modelos estándares	
14	14.Capacidad para integrar y gestionar contenidos digitales en aplicaciones multimodales de acuerdo con criterios estéticos, técnicos y funcionales	
15	15.Capacidad para implementar, poner en marcha y mantener software y hardware multimedia	
16	16.Capacidad para distribuir contenidos multimedia de manera eficiente a través de las diferentes plataformas disponibles (web, móvil, televisión digital, etc.)	
17	17.Capacidad para atender adecuadamente consultas sobre proyectos, tecnologías y mercado de productos multimedia evaluando de forma precisa el entorno de aplicación, los recursos y las alternativas tecnológicas disponibles	
18	18.Capacidad para planificar y gestionar proyectos en el entorno de las TIC	
19	19.Capacidad para identificar las características de los diferentes tipos de organizaciones y el papel que juegan las TIC en las mismas	
20	20.Capacidad para evaluar soluciones tecnológicas y elaborar propuestas de proyectos teniendo en cuenta los recursos, las alternativas disponibles y las condiciones de mercado	
21	21.Capacidad para ejercer la actividad profesional de acuerdo al código ético y a los aspectos legales en el entorno de las TIC	
22	22.Capacidad de utilizar los fundamentos matemáticos, estadísticos y físicos para comprender los sistemas TIC	
23	23.Capacidad de analizar un problema en el nivel de abstracción adecuado a cada situación y aplicar las habilidades y conocimientos adquiridos para abordarlo y resolverlo	
24	Competencia fantasma	
