num	competencias	tipo
1	1. Que los estudiantes hayan demostrado poseer y comprender conocimientos en un área de estudio que parte de la base de la educación secundaria general, y se suele encontrar a un nivel que, si bien se apoya en libros de texto avanzados, incluye también algunos aspectos que implican conocimientos procedentes de la vanguardia de su campo de estudio;	
2	2. Que los estudiantes sepan aplicar sus conocimientos a su trabajo o vocación de una forma profesional y posean las competencias que suelen demostrarse por medio de la elaboración y defensa de argumentos y la resolución de problemas dentro de su área de estudio;2. 	
3	3. Que los estudiantes tengan la capacidad de reunir e interpretar datos relevantes (normalmente dentro de su área de estudio) para emitir juicios que incluyan una reflexión sobre temas relevantes de índole social, científica o ética;	
4	4. Que los estudiantes puedan transmitir información, ideas, problemas y soluciones a un público tanto especializado como no especializado;	
5	5. Que los estudiantes hayan desarrollado aquellas habilidades de aprendizaje necesarias para emprender estudios posteriores con un alto grado de autonomía.	
6	6. Uso y aplicación de las TIC en el ámbito académico y profesional;	
7	7. Comunicarse en una lengua extranjera (inglés);	
8	8. Identificar las estructuras y procesos del contexto profesional del diseño y reconocer sus implicaciones sociales y culturales desde una perspectiva local y globa	
9	9. Identificar, integrarse y participar en las comunidades de diseño, trabajando en equipo de forma colaborativa y/o cooperativa en entornos digitales;	
10	10.  Elaborar un pensamiento y discurso crítico sobre el contexto sociocultural y un posicionamiento ético en relación a la práctica profesional del diseño;	
11	11. Incluir valores de sostenibilidad y respeto al entorno en las tareas y proyectos de diseño;	
12	12. Reconocer e incorporar la diversidad cultural y funcional en los procesos y resultados del diseño;	
13	13. Comprender el contexto cultural actual y los movimientos sociales relacionados con la cultura digital para imprimir una ética de cultura libre y abierta en la práctica del diseño;	
14	14. Aplicar las técnicas de creatividad idóneas para cada proyecto de diseño con el objetivo de resolver problemas de forma innovadora y generar nuevas ideas;	
15	15. Analizar las situaciones de diseño, identificar los elementos que intervienen y plantear los problemas y desafíos asociados;	
16	16. Dominar el lenguaje expresivo para propiciar experiencias estéticas de acuerdo con los objetivos de cada proyecto de diseño;	
17	17. Aplicar las estrategias, procesos, métodos y técnicas propias del diseño centrado en las personas;	
18	18. Planificar, gestionar y evaluar proyectos de diseño en los diferentes ámbitos profesionales;	
19	19. Aplicar perspectivas y estrategias propias de la cultura del diseño en ámbitos sociales y empresariales con el objetivo de crear valor en las organizaciones;	
20	20. Elaborar mensajes teniendo en cuenta el público al que van dirigidos y las particularidades del encargo, aplicando un pensamiento estratégico y teniendo en cuenta las teorías de la comunicación;	
21	21. Dominar las técnicas de expresión gráfica;	
22	22. Dominar las herramientas específicas para la formalización del diseño en entornos tanto analógicos como digitales;	
23	23. Seleccionar y utilizar los soportes, materiales y dispositivos más adecuados a los casos a resolver;	
24	24. Analizar, conceptualizar, diseñar y evaluar procesos de interacción y sus interfaces;	
25	25. Integrar el pensamiento computacional en la práctica del diseño, mediante la algorítmica y los lenguajes y entornos de programación;	
26	26. Extraer e interpretar datos a partir de diferentes fuentes, tanto analógicas como digitales, para su uso en proyectos de diseño;	
27	27. Analizar y aplicar en la práctica del diseño conocimientos de su historia y de la cultura visual;	
28	28. Presentar trabajos de diseño en diferentes contextos, para distintos públicos y en formatos diversos, con argumentaciones y contraargumentaciones sólidas y solventes;	
29	Competencia fantasma	
