num	competencias	tipo
1	1. Capacidad de comunicación escrita en el ámbito académico y profesional.	
2	2. Uso y aplicación de las TIC en el ámbito académico y profesional.	
3	3. Capacidad de comunicación en lengua extranjera.	
4	4. Trabajo en equipo.	
5	5. Capacidad para adaptarse a las tecnologías y a los futuros entornos actualizando las competencias profesionales.	
6	6. Capacidad para innovar y generar nuevas ideas.	
7	7. Capacidad para planificar y gestionar proyectos en el entorno de las TIC.	
8	8. Capacidad para identificar las características de los diferentes tipos de organizaciones y el papel que juegan las TIC en las mismas.	
9	9. Capacidad para evaluar soluciones tecnológicas y elaborar propuestas de proyectos teniendo en cuenta los recursos, las alternativas disponibles y las condiciones de mercado.	
10	10. Capacidad para ejercer la actividad profesional de acuerdo al código ético y a los aspectos legales en el entorno de las TIC.	
11	11. Capacidad de utilizar los fundamentos matemáticos, estadísticos y físicos para comprender los sistemas TIC.	
12	12. Capacidad de analizar un problema en el nivel de abstracción adecuado a cada situación y aplicar las habilidades y conocimientos adquiridos para abordarlo y resolverlo.	
13	13. Capacidad para identificar los elementos de la estructura y los principios de funcionamiento de un ordenador.	
14	14. Capacidad para analizar la arquitectura y organización de los sistemas y aplicaciones informáticos en red.	
15	15. Conocer las tecnologías de comunicaciones actuales y emergentes y saberlas aplicar convenientemente para diseñar y desarrollar soluciones basadas en sistemas y tecnologías de la información.	
16	16. Capacidad para administrar y gestionar los sistemas operativos y las comunicaciones de una red de ordenadores.	
17	17. Capacidad de diseñar y construir aplicaciones informáticas mediante técnicas de desarrollo, integración y reutilización.	
18	18. Aplicación de las técnicas específicas de ingeniería del software a las diferentes etapas del ciclo de vida de un proyecto.	
19	19. Capacidad para aplicar las técnicas específicas de tratamiento, almacenamiento y administración de datos.	
20	20. Capacidad para proponer y evaluar diferentes alternativas tecnológicas para resolver un problema concreto.	
21	Competencia fantasma	
