Código	Nombre	Abreviatura	Siglas	Tipo	Créditos	Módulo	Materia	Semestre relativo
	Mercados y conducta		MYC	B	6			1
	Comportamiento de los agregados económicos		CAE	B	6			2
	Alternativas económicas		AE	OP	6			7 u 8
	Historia económica		HE	OP	6			7 u 8
	Microeconomía		MICR	OP	6			7 u 8
	Macroeconomía		MACR	OP	6			7 u 8
	Derecho de la empresa		DEMP	B	6			1
	Fiscalidad empresarial		FE	O	6			4
	Derecho del trabajo individual		DTI	OP	6			7 u 8
	Derecho financiero y tributario		DFT	OP	6			7 u 8
	Fiscalidad avanzada		FA	OP	6			7 u 8
	Fiscalidad internacional		FI	OP	6			7 u 8
	Estructura económica		EECO	O	6			3
	Comercio exterior		COME	OP	6			7 u 8
	Economía del sector público		ESP	OP	6			7 u 8
	Economía internacional		EI	OP	6			7 u 8
	Integración de mercados		IDM	OP	6			7 u 8
	Fundamentos de matemáticas		FM	B	6			1
	Fundamentos de estadística		FEST	B	6			2
	Inferencia estadística		INFE	O	6			3
	Análisis multivariante		AM	OP	6			7 u 8
	Iniciación a las matemáticas		IMAT	OP	6			1
	Introducción a la econometría		IECO	OP	6			7 u 8
	Métodos para la toma de decisiones		MTD	OP	6			7 u 8
	Introducción a la contabilidad		ICON	O	6			2
	Contabilidad de costes		CONC	O	6			3
	Contabilidad financiera		CONF	O	6			4
	Análisis de los estados financieros		AEF	O	6			5
	Auditoría externa		AUDE	OP	6			7 u 8
	Consolidación de los estados financieros		CEF	OP	6			7 u 8
	Control presupuestario y de gestión		CPG	OP	6			7 u 8
	Contabilidad de gestión para la toma de decisiones		CGTD	OP	6			8
	Valoración de operaciones financieras		VOF	O	6			5
	Inversión empresarial		INVE	O	6			6
	Financiación empresarial		FINE	O	6			7
	Mercados financieros		MERF	OP	6			7 u 8
	Introducción a la empresa		INTE	B	6			1
	Iniciativa emprendedora		INIE	B	6			2
	Dirección estratégica		DIRE	O	6			6
	Ética, diversidad y gestión responsable		EDGR	O	6			6
	Gestión de la innovación		GINN	OP	6			7 u 8
	Gestión de proyectos		GPRO	OP	6			7 u 8
	Gestión del cambio		GCAM	OP	6			7 u 8
	International management		INTM	OP	6			7 u 8
	Digital transformation		DIGT	OP	6			7 u 8
	Sistemas de gestión organizativos		SGO	OP	6			7 u 8
	Fundamentos de marketing		FUNM	O	6			3
	Dirección de marketing		DIRM	O	6			4
	Estrategias de marketing digital		ESMD	OP	6			7 u 8
	Comunicación de marketing integrada		CMI	OP	6			7 u 8
	Introducción al Business Intelligence y Big Data		IBIBD	OP	6			7 u 8
	Investigación de mercados		INVM	OP	6			7 u 8
	Logística		LOG	O	6			5
	Decisiones estratégicas de operaciones		DEO	O	6			4
	Decisiones tácticas de operaciones		DTO	OP	6			7 u 8
	Personas y organizaciones		PYO	B	6			2
	Gestión y desarrollo de recursos humanos		GDRH	O	6			5
	Política y dirección de personas		PSP	OP	6			7 u 8
	Sistemas de información		SI	O	6			5
	Dirección de sistemas de información		DSI	O	6			6
	Análisis de redes sociales y económicas		ARSE	OP	6			7 u 8
	Inglés B2.1		ING1	B	6			3
	Inglés B2.2		ING2	O	6			4
	Técnicas de expresión		TEXP	OP	6			7
	Iniciación a las competencias TIC		INTIC	B	6			1
	Habilidades directivas		HD	O	6			6
	Creatividad		CR	OP	6			7 u 8
	Prácticas empresariales I		PRA1	OP	6			7 u 8
	Prácticas empresariales II		PRA2	OP	6			7 u 8
	Business Game: Simulador de negocios		BGSDN	OP	6			7 u 8
	TFG		TFG	O	6			8
	Asignatura fantasma							
