num	competencias	tipo
1	1. Que los estudiantes hayan demostrado poseer y comprender conocimientos en un área de estudio que parte de la base de la educación secundaria general, y se suele encontrar a un nivel que, si bien se apoya en libros de texto avanzados, incluye también algunos aspectos que implican conocimientos procedentes de la vanguardia de su campo de estudio.	
2	2. Que los estudiantes sepan aplicar sus conocimientos a su trabajo o vocación de una forma profesional y posean las competencias que suelen demostrarse por medio de la elaboración y defensa de argumentos y la resolución de problemas dentro de su área de estudio.	
3	3. Que los estudiantes tengan la capacidad de reunir e interpretar datos relevantes (normalmente dentro de su área de estudio) para emitir juicios que incluyan una reflexión sobre temas relevantes de índole social, científica o ética.	
4	4. Que los estudiantes puedan transmitir información, ideas, problemas y soluciones a un público tanto especializado como no especializado.	
5	5. Que los estudiantes hayan desarrollado aquellas habilidades de aprendizaje necesarias para emprender estudios posteriores con un alto grado de autonomía.	
6	6. Recopilar, identificar, organizar, analizar, evaluar y utilizar adecuadamente la información para la toma de decisiones en la gestión de empresas.	
7	7. Trabajar en equipo de forma colaborativa y/o cooperativa en entornos virtuales y atendiendo a la diversidad de sus miembros.	
8	8. Comunicar por escrito y oralmente de forma precisa, clara y adecuada en contextos académicos y profesionales.	
9	9. Resolver problemas, aportar mejoras e innovar en el ámbito profesional que requieren del uso de ideas creativas e innovadoras y un comportamiento emprendedor.	
10	10. Demostrar un nivel B2 (Marco europeo común de referencia para las lenguas) de un idioma moderno en la comprensión y producción de textos orales y escritos en un contexto académico y profesional.	
11	11. Utilizar y aplicar las tecnologías digitales en el ámbito académico y profesional.	
12	12. Actuar de manera honesta, ética, sostenible, socialmente responsable y respetuosa con los derechos humanos y la diversidad, tanto en la práctica académica como en la profesional. 	
13	13. Interpretar el funcionamiento de la economía y sus agentes en relación al contexto nacional e internacional con el objetivo de anticipar tendencias micro y macroeconómicas en el comportamiento empresarial.	
14	14. Manejar los principales conceptos, modelos y técnicas de análisis de la realidad histórica, social e institucional en la que se desenvuelve la empresa y los agentes económicos. 	
15	15. Identificar el entorno legal y aplicar el marco normativo que afecta a la gestión y la actividad empresarial.	
16	16. Desempeñar eficientemente las funciones básicas de administración y gestión en cualquier área de valor de una empresa u organización.	
17	17. Aplicar las técnicas, métodos e instrumentos cuantitativos y cualitativos adecuados para obtener y analizar la información de la empresa y de su entorno socioeconómico para la toma de decisiones.	
18	18. Elaborar, analizar y aplicar la información contable y financiera externa e interna para controlar la gestión y la toma de decisiones con especial énfasis en las estrategias de inversión y financiación.	
19	19. Planificar, evaluar y comunicar la actividad de la empresa o proyecto empresarial a nivel global con criterios de eficiencia, competitividad y sostenibilidad.	
20	20. Identificar las necesidades de los consumidores e intentar satisfacerlas mediante la comprensión de los distintos conceptos de marketing y el diseño y aplicación de estrategias de marketing.	
21	21. Planificar y organizar las operaciones y la logística de la empresa para conseguir los objetivos empresariales.	
22	22. Elaborar y aplicar políticas de gestión de recursos humanos de la empresa reconociendo la importancia y la contribución de las personas y promover su potencial creativo e innovador.	
23	23. Analizar los sistemas de gestión y de información más adecuados y gestionarlos para apoyar la toma de decisiones y la implementación de la estrategia.	
24	24. Valorar los procesos y tendencias de transformación digital, tecnológica y medioambiental y su impacto en las organizaciones para aplicar políticas y acciones más eficientes.	
25	25. Desarrollar habilidades directivas para aplicarlas en la dirección de la empresa y la gestión del cambio organizativo.	
26	26. Competencia fantasma	
