		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	16	20	21	22	23	24	25	26
1	Mercados y conducta	1		1	1		1					1	1	1													
2	Comportamiento de los agregados económicos	1		1	1		1					1		1													
3	Alternativas económicas	1	1	1			1					1	1	1	1												
4	Historia económica			1	1		1					1			1												
5	Microeconomía		1		1		1					1		1													
6	Macroeconomía	1	1		1		1					1		1													
7	Derecho de la empresa				1		1		3							1											
8	Fiscalidad empresarial		1		1		1						1			1	1										
9	Derecho del trabajo individual		1	1					1							1											
10	Derecho financiero y tributario				1		1						1			1											
11	Fiscalidad avanzada		1		1		1					1	1			1											
12	Fiscalidad internacional		1		1		1					1	1			1											
13	Estructura económica	1		1			1		1			1	1	1	1												
14	Comercio exterior						1					1															
15	Economía del sector público			1					1			1	1	1	1												
16	Economía internacional				1		1					1			1												
17	Integración de mercados		1		1		1					1		1	1												
18	Fundamentos de matemáticas	1	1		1	1						1						1									
19	Fundamentos de estadística	1	1		1	1						1						1									
20	Inferencia estadística	1	1		1	1						1						1									
21	Análisis multivariante	1	1		1	1						1						1									
22	Iniciación a las matemáticas	1	1	1	1	1						1						1									
23	Introducción a la econometría	1	1		1	1						1						1									
24	Métodos para la toma de decisiones	1	1		1	1						1						1									
25	Introducción a la contabilidad				1		1		1								1		1								
26	Contabilidad de costes				1		1											1	1								
27	Contabilidad financiera				1											1	1		1								
28	Análisis de los estados financieros				1		1		1			1					1	1	1								
29	Auditoría externa		1	1				1					1			1			1								
30	Consolidación de los estados financieros		1		1														1								
31	Control presupuestario y de gestión		1	1			1		1									1	1								
32	Contabilidad de gestión para la toma de decisiones				1								1						1								
33	Valoración de operaciones financieras		1				1											1									
34	Inversión empresarial		1		1		1											1	1								
35	Financiación empresarial		1		1		1						1					1	1								
36	Mercados financieros		1				1							1				1	1								
37	Introducción a la empresa	1	1		1		1			1			1				1			1	1	1					
38	Iniciativa emprendedora	1	1	1		1		1		1										1	1						
39	Dirección estratégica		1	1			1		1				1							1						1	
40	Ética, diversidad y gestión responsable		1	1									1							1			1		1		
41	Gestión de la innovación				1	1				1		1															
42	Gestión de proyectos				1	1		1		1		1								1							
43	Gestión del cambio					1		1					1													1	
44	International management		1		1		1		1		1		1	1						1			1				
45	Digital transformation									1	1	1													1		
46	Sistemas de gestión organizativos		1	1		1						1												1	1		
47	Fundamentos de marketing				1		1						1				1				1						
48	Dirección de marketing				1		1		1				1								1						
49	Estrategias de marketing digital		1		1		1			1		1									1				1		
50	Comunicación de marketing integrada				1				1	1			1								1						
51	Introducción al Business Intelligence y Big Data			1	1	1	1			1		1						1			1						
52	Investigación de mercados		1		1		1			1			1					1			1						
53	Logística		1		1							1	1				1				1						
54	Decisiones estratégicas de operaciones		1	1	1								1									1					
55	Decisiones tácticas de operaciones		1	1	1							1						1				1					
56	Personas y organizaciones		1	1									1										1				
57	Gestión y desarrollo de recursos humanos		1		1			1					1				1						1				
58	Política y dirección de personas		1	1									1										1			1	
59	Sistemas de información				1		1					1	1				1							1			
60	Dirección de sistemas de información		1		1		1			1		1	1											1			
61	Análisis de redes sociales y económicas			1			1					1	1											1	1		
62	Inglés B2.1	1						1	1		1	1															
63	Inglés B2.2	1						1	1		1	1															
64	Técnicas de expresión	1	1						1			1															
65	Iniciación a las competencias TIC	1		1	1	1		1				1															
66	Habilidades directivas		1		1				1				1										1			1	
67	Creatividad		1		1				1	1													1				
68	Prácticas empresariales I		1	1	1	1			1				1				1										
69	Prácticas empresariales II		1	1	1	1			1				1				1										
70	Business Game: Simulador de negocios		1		1		1	1									1										
71	TFG	1	1	1	1	1	1		1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	
72	Asignatura fantasma																										
