Código	Nombre	Abreviatura	Siglas	Tipo	Créditos	Módulo	Materia	Semestre relativo
	Seminario de historia del arte		SHA	B	6			1
	Seminario de materialidad y tecnología		SMT	O	6			2
	Seminario de contextos y sistemas del arte		SCSA	B	6			4
	Seminario de teorías del arte y de la cultura		STAC	B	6			3
	Seminario de cultura visual y nuevos medios		SCVNM	B	6			5
	Seminario de investigación artística		SIA	O	6			7
	Taller de escritura y comunicación		TEC	B	12			1
	Taller de dibujo y expresión gráfica		TDE	B	12			1
	Taller de pintura y color		TPC	O	12			2
	Taller de fotografía e imagen		TFI	O	12			3
	Taller de escultura y prácticas espaciales		TEPE	O	12			5
	Taller de vídeocreación		TV	O	12			3
	Taller de programación e interacción		TPI	O	12			6
	Taller de arte sonoro		TAS	O	12			6
	Inglés/Francés/Alemán B2.1		IDI1	B	6			5
	Inglés/Francés/Alemán B2.2		IDI2	B	6			6
	Proyecto I		P1	O	12			2
	Proyecto II		P2	O	12			5
	Proyecto III		P3	O	12			6
	Trabajo Final de Grado		TFG	O	18			8
	Procedimientos y técnicas pictóricas		PTP	OP	6			6, 7 u 8
	Prácticas performativas		PP	OP	6			6, 7 u 8
	Programación y arte generativo		PAG	OP	6			6, 7 u 8
	Interacción e interactividad		II	OP	6			6, 7 u 8
	Fabricación digital		FD	OP	6			6, 7 u 8
	Instalaciones audiovisuales		IA	OP	6			6, 7 u 8
	Animación		ANI	O	6			6, 7 u 8
	Prácticas artísticas colaborativas		PAC	OP	6			6, 7 u 8
	Estudios subalternos		ES	OP	6			6, 7 u 8
	Cuerpo y género		CG	OP	6			6, 7 u 8
	Estética y arte contemporáneo		EST	OP	6			6, 7 u 8
	Arte contemporáneo		ACONT	OP	6			6, 7 u 8
	El sector de las artes visuales		SAV	OP	6			6, 7 u 8
	Comisariado		COM	OP	6			6, 7 u 8
	Arte y educación		AE	OP	6			6, 7 u 8
	Crítica de arte		CA	OP	6			6, 7 u 8
	Archivo, documentación y conservación digital		ADCD	OP	6			6, 7 u 8
	Prácticas		PRA	OP	6			6, 7 u 8
	Asignatura fantasma							
