num	competencias	tipo
1	1. Que los estudiantes hayan demostrado poseer y comprender conocimientos en un área de estudio que parte de la base de la educación secundaria general, y se suele encontrar a un nivel que, si bien se apoya en libros de texto avanzados, incluye también algunos aspectos que implican conocimientos procedentes de la vanguardia de su campo de estudio.	
2	2. Que los estudiantes sepan aplicar sus conocimientos a su trabajo o vocación de una forma profesional y posean las competencias que suelen demostrarse por medio de la elaboración y defensa de argumentos y la resolución de problemas dentro de su área de estudio.	
3	3. Que los estudiantes tengan la capacidad de reunir e interpretar datos relevantes (normalmente dentro de su área de estudio) para emitir juicios que incluyan una reflexión sobre temas relevantes de índole social, científica o ética.	
4	4. Que los estudiantes puedan transmitir información, ideas, problemas y soluciones a un público tanto especializado como no especializado	
5	5. Que los estudiantes hayan desarrollado aquellas habilidades de aprendizaje necesarias para emprender estudios posteriores con un alto grado de autonomía.	
6	6. Elaborar discursos a partir del análisis de un objeto de estudio, teniendo en cuenta el contexto (otras personas, ideas o conversaciones), de manera reflexiva y autocrítica, y que contribuyan con aportaciones creativas, alternativas y originales.	
7	7. Conocer el contexto profesional (sistemas y agentes del arte) en su dinámica local y global e interactuar efectivamente a él.	
8	8. Mostrar flexibilidad y adaptabilidad en la práctica profesional, siendo capaz de desarrollar procesos de autoaprendizaje y autoevaluación.	
9	9. Trabajar colaborativamente en diversos contextos y desarrollar diferentes roles en un equipo o proyecto.	
10	10. Capacidad para el uso y aplicación de las TIC en el ámbito académico y profesional.	
11	11. Capacidad para comunicarse en una lengua extranjera.	
12	12. Capacidad para expresarse y comunicarse por escrito y oralmente.	
13	13. Actuar de manera honesta, ética, sostenible, socialmente responsable y respetuosa con los derechos humanos y la diversidad, tanto en la práctica académica como en la profesional.	
14	14. Conocer y desarrollar un marco de referencias histórico-teórico-críticas y articularlo de manera fundamentada con los contextos artísticos y con la propia práctica.	
15	15. Argumentar sobre prácticas artísticas, propias o no, en relación con los debates culturales y artísticos actuales, expresados tanto en las teorías como en las propuestas artísticas contemporáneas.	
16	16. Elegir los medios y formatos adecuados de expresión, representación y comunicación en la argumentación, exposición y difusión de las prácticas artísticas, presentando el trabajo propio en un contexto profesional.	
17	17. Analizar, evaluar, discutir y debatir el trabajo de otros y responder argumentadamente frente a las críticas razonadas al trabajo propio en grupo.	
18	18. Desarrollar habilidades de investigación: formulación de preguntas pertinentes, realización de búsquedas, análisis y evaluaciones.	
19	19. Experimentar, asumir riesgos, explorar caminos divergentes y desarrollar la creatividad.	
20	20. Desarrollar proyectos culturales, artísticos y académicos de diversa naturaleza, atendiendo a todas sus fases e implicaciones.	
21	21. Conocer y saber aplicar metodologías de diseño, gestión y producción de proyectos artísticos.	
22	22. Reconocer y reflexionar sobre cómo las dimensiones culturales, intelectuales y emocionales se materializan en el trabajo práctico.	
23	23. Dialogar con otras disciplinas, contextos y comunidades no necesariamente artísticas, para desarrollar un trabajo interdisciplinar situado.	
24	24. Explorar y escoger los medios de expresión, representación y comunicación adecuados para cada tipo de práctica artística, y saber integrar diversas técnicas en la formalización de trabajos.	
25	25. Explorar formas de uso no convencional y transgredir el uso de los lenguajes, técnicas y herramientas, así como trabajar los diversos medios desde una perspectiva crítica de la tecnología integrando las perspectivas del software libre y el código abierto.	
26	26. Dominar una diversidad de medios, lenguajes, técnicas y herramientas para la formalización bidimiensional.	
27	27. Dominar una diversidad de medios, lenguajes, técnicas y herramientas para la formalización tridimensional.	
28	28. Dominar una diversidad de medios, lenguajes, técnicas y herramientas para la formalización de sonido e imágenes en movimiento.	
29	29. Dominar una diversidad de medios, lenguajes, técnicas y herramientas para formalizaciones relacionales, performáticas e interactivas.	
30	30. Integrar la dimensión computacional e interactiva en la práctica artística, mediante la algorítmica y los lenguajes y entornos de programación.	
31	Competencia fantasma	
