Código	Nombre	Abreviatura	Siglas	Tipo	Créditos	Módulo	Materia	Semestre relativo
	Introducción a la ciencia política		ICP	B	6			1
	Introducción a la ciencia de la administración		ICA	B	6			1
	Introducción a la economía		IE	B	6			2
	Historia política y social contemporánea		HPSC	B	6			2
	Introducción a la sociología		IS	B	6			2
	Introducción al derecho		ID	B	6			2
	Inglés B2.1		ING1	B	6			1
	Inglés B2.2		ING2	B	6			2
	Competencias TIC		CTIC	B	6			1
	TEAN		TEAN	B	6			1
	Metodología de las ciencias sociales		MCS	O	6			3
	Fundamentos de la investigación cuantitativa		FICL	O	6			4
	Fundamentos de la investigación cualitativa		FICN	O	6			4
	Análisis y visualización de datos cuantitativos		AVDC	O	6			5
	Sistema político español		SPE	O	6			3
	Sistemas políticos comparados		SPC	O	6			4
	Partidos políticos y grupos de interés		PPGI	O	6			5
	Instituciones sociales y políticas contemporáneas		ISPC	O	6			6
	Pensamiento político		PP	O	6			7
	Teorías de la democracia		TD	O	6			6
	Gestión pública		GP	O	6			3
	Estructuras administrativas		EA	O	6			4
	Análisis de políticas públicas		APP	O	6			5
	Derecho público		DP	O	6			3
	Unión Europea		UE	O	6			5
	Estructura económica		EE	O	6			3
	Fundamentos teóricos de la decisión pública		FTDP	O	6			6
	Economía del sector público		ESP	O	6			7
	Introducción a las relaciones internacionales		IRI	O	6			4
	Geografía política		GPOL	O	6			6
	Globalización e internet		GI	O	6			7
	Nuevos actores transnacionales		NAT	OP	6			5, 6, 7 u 8
	Sistemas electorales		SELE	OP	6			5, 6, 7 u 8
	Comportamiento político		CPOL	OP	6			5, 6, 7 u 8
	Democratización e instituciones políticas de América Latina		DIPAL	OP	6			5, 6, 7 u 8
	Política comparada: tipos y orígenes de regímenes políticos.		PCOM	OP	6			5, 6, 7 u 8
	Temas actuales de teoría política		TATP	OP	6			5, 6, 7 u 8
	Política catalana		PCAT	OP	6			5, 6, 7 u 8
	Teoría de juegos		TJUE	OP	6			5, 6, 7 u 8
	Técnicas de dirección pública		TDP	OP	6			5, 6, 7 u 8
	Evaluación de programas y políticas públicas		EPPP	OP	6			5, 6, 7 u 8
	Gobernanza pública		GPUB	OP	6			5, 6, 7 u 8
	Ética para la gestión y administración pública		EGAP	OP	6			5, 6, 7 u 8
	Derecho administrativo		DADM	OP	6			5, 6, 7 u 8
	Derecho local		DLOC	OP	6			5, 6, 7 u 8
	Administración digital		ADIG	OP	6			5, 6, 7 u 8
	Política e internet		PINT	OP	6			5, 6, 7 u 8
	Participación digital		PDIG	OP	6			5, 6, 7 u 8
	Democracia y gobierno digital		DGD	OP	6			5, 6, 7 u 8
	Comunicación política y opinión pública		CPOP	OP	6			5, 6, 7 u 8
	Análisis de redes y big data		ARBD	OP	6			5, 6, 7 u 8
	Proyecto práctico profesional (PPP)		PPP	OP	6			5, 6, 7 u 8
	Trabajo final de grado		TFG	O	6			8
	Asignatura fantasma							
