		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
1	Introducción a la ciencia política			1	1	1						1	1							1						
2	Introducción a la ciencia de la administración			1	1	1							1							1	1					
3	Introducción a la economía			1		1	1					1	1			1				1						
4	Historia política y social contemporánea				1	1						1			1					1						
5	Introducción a la sociología			1	1	1						1		1	1											
6	Introducción al derecho				1	1	1					1			1					1						
7	Inglés B2.1					1			1	1	1															
8	Inglés B2.2					1			1	1	1															
9	Competencias TIC				1	1	1	1	1	1																
10	TEAN			1	1	1			1			1														
11	Metodología de las ciencias sociales		1	1			1			1													1	1		
12	Fundamentos de la investigación cuantitativa		1	1			1			1													1	1		
13	Fundamentos de la investigación cualitativa		1	1			1			1													1	1	1	
14	Análisis y visualización de datos cuantitativos			1			1			1													1	1		
15	Sistema político español	1			1									1	1	1				1						
16	Sistemas políticos comparados			1			1						1	1					1						1	
17	Partidos políticos y grupos de interés												1	1	1	1									1	
18	Instituciones sociales y políticas contemporáneas								1	1			1	1	1	1										
19	Pensamiento político	1			1		1					1	1				1									
20	Teorías de la democracia				1		1						1		1		1									
21	Gestión pública												1					1		1	1	1				
22	Estructuras administrativas													1				1		1	1					
23	Análisis de políticas públicas			1				1						1						1	1	1				
24	Derecho público	1												1						1	1					
25	Unión Europea													1					1	1		1				
26	Estructura económica	1			1		1					1							1							
27	Fundamentos teóricos de la decisión pública		1										1		1					1	1	1				
28	Economía del sector público				1		1							1						1	1					
29	Introducción a las relaciones internacionales	1				1				1			1						1	1						
30	Geografía política					1			1	1					1				1							
31	Globalización e internet							1	1			1						1	1							
32	Nuevos actores transnacionales						1								1	1			1							
33	Sistemas electorales									1				1	1	1	1									
34	Comportamiento político				1											1							1	1	1	
35	Democratización e instituciones políticas de América Latina		1										1				1		1						1	
36	Política comparada: tipos y orígenes de regímenes políticos.							1					1	1			1		1						1	
37	Temas actuales de teoría política										1	1	1		1		1	1								
38	Política catalana				1									1	1	1									1	
39	Teoría de juegos		1	1			1								1	1										
40	Técnicas de dirección pública							1		1								1								
41	Evaluación de programas y políticas públicas		1	1						1								1			1	1		1	1	
42	Gobernanza pública						1		1						1					1	1					
43	Ética para la gestión y administración pública											1						1		1	1	1				
44	Derecho administrativo				1									1						1	1					
45	Derecho local				1									1				1		1						
46	Administración digital				1					1								1			1					
47	Política e internet		1		1					1			1					1								
48	Participación digital								1	1					1	1		1							1	
49	Democracia y gobierno digital									1				1			1	1								
50	Comunicación política y opinión pública				1									1		1		1								
51	Análisis de redes y big data		1	1			1			1	1												1	1		
52	Proyecto práctico profesional (PPP)		1		1		1	1	1	1		1			1			1		1		1			1	
53	Trabajo final de grado						1	1		1		1	1	1	1	1			1	1	1		1	1	1	
54	Asignatura fantasma																									
