num	competencias	tipo
1	1. Que los estudiantes hayan demostrado poseer y comprender conocimientos en un área de estudio que parte de la base de la educación secundaria general, y se suele encontrar a un nivel que, si bien se apoya en libros de texto avanzados, incluye también algunos aspectos que implican conocimientos procedentes de la vanguardia de su campo de estudio	
2	2. Que los estudiantes sepan aplicar sus conocimientos a su trabajo o vocación de una forma profesional y posean las competencias que suelen demostrarse por medio de la elaboración y defensa de argumentos y la resolución de problemas dentro de su área de estudio	
3	3. Que los estudiantes tengan la capacidad de reunir e interpretar datos relevantes (normalmente dentro de su área de estudio) para emitir juicios que incluyan una reflexión sobre temas relevantes de índole social, científica o ética	
4	4. Que los estudiantes puedan transmitir información, ideas, problemas y soluciones a un público tanto especializado como no especializado	
5	5. Que los estudiantes hayan desarrollado aquellas habilidades de aprendizaje necesarias para emprender estudios posteriores con un alto grado de autonomía	
6	6. Saber trabajar en equipo en un entorno virtual	
7	7. Diseñar y gestionar proyectos profesionales y de investigación	
8	8. Buscar, gestionar y usar la información más adecuada para modelizar problemas concretos y aplicar adecuadamente procedimientos teóricos para su resolución de manera autónoma y creativa	
9	9. Identificar y generar nuevas ideas innovadoras que aporten valor económico y/o social	
10	10. Comunicar y transmitir los conocimientos, habilidades y destrezas de la profesión en el marco de la ciencia de datos.	
11	11. Uso y aplicación de las TIC en el ámbito académico y profesional	
12	12. Comunicarse en una lengua extranjera	
13	13. Expresarse de forma escrita de forma adecuada al contexto académico y profesional	
14	14. Desarrollar y aplicar iniciativas y espíritu emprendedor	
15	15. Identificar, comprender y reconocer oportunidades de mejora en cualquier tipo de organización que pueden ser resueltas de forma eficiente y efectiva mediante la ciencia de los datos	
16	16. Concebir, organizar, planificar redactar y gestionar proyectos, servicios y sistemas informáticos en el ámbito de la ciencia de los datos	
17	17. Definir, evaluar y seleccionar soluciones tecnológicas, así como recursos (espaciales, temporales) necesarios para el desarrollo y ejecución de proyectos, teniendo en cuenta las alternativas disponibles, las condiciones de mercado y las normativas vigentes	
18	18. Diseñar un marco experimental teniendo en cuenta los métodos más adecuados para la captura, el procesamiento, el almacenamiento, el análisis y la visualización de datos	
19	19. Utilizar de forma combinada los fundamentos matemáticos, estadísticos y de programación para desarrollar soluciones a problemas en el ámbito de la ciencia de los datos	
20	20. Entender cómo los algoritmos y las estructuras de datos son diseñados, optimizados y aplicados según la escala del volumen de datos	
21	21. Diseñar y construir aplicaciones analíticas mediante técnicas de desarrollo, integración y reutilización de componentes software	
22	22. Identificar y combinar datos de diferentes fuentes y formatos en diferentes gestores de bases de datos para obtener un almacenamiento de datos eficiente en cada contexto de aplicación	
23	23. Aplicar técnicas específicas de captura, tratamiento y análisis de datos estructurados, semi- estructurados y no estructurados	
24	24. Administrar y gestionar los sistemas operativos y de comunicaciones de los componentes de una red de ordenadores	
25	25. Resumir, interpretar, presentar y contrastar de forma crítica los resultados obtenidos utilizando las herramientas de análisis y visualización más adecuadas	
26	26. Trabajar de forma colaborativa en equipos multidisciplinares para el desarrollo de proyectos de un ámbito temático concreto (salud, educación, agricultura, industria 4.0, etc.)	
27	27. Ejercer la actividad profesional de acuerdo al código ético y los aspectos legales en el marco de la privacidad y seguridad de los datos	
28	28. Analizar, conceptualizar, diseñar y evaluar procesos de interacción y sus interfaces en el ámbito de la ciencia de datos	
29	29. Capacidad de realizar de forma autónoma, presentar y defender un trabajo en el ámbito de la ciencia de los datos frente a un público experto	
30	Competencia fantasma	
