Código	Nombre	Abreviatura	Siglas	Tipo	Créditos	Módulo	Materia	Semestre relativo
	Comunicación y sociedad		CS	B	6			3
	Fuentes de información y documentación digital		FIDD	B	6			2
	Pensamiento creativo		PCRE	B	6			1
	Lengua y comunicación		LC	B	6			1
	Audiencias y consumos		AC	B	6			4
	Empresa y marketing 		EM	B	6			4
	Idioma moderno I: Inglés B2.1		IM1	B	6			3
	Competencias TIC en comunicación		CTIC	B	6			2
	Régimen jurídico de la comunicación		RJUR	B	6			1
	Iniciativa emprendedora		IEMP	B	6			4
	Idioma moderno II: Inglés B2.2 		IM2	O	6			6
	Teorías de la comunicación		TC	O	6			2
	Proyectos audiovisuales 		PA	O	6			5
	Storytelling y recursos narrativos		SRN	O	6			5
	Comunicación y contenidos en social media		CCSM	O	6			3
	Introducción a la publicidad		IP	O	6			1
	Introducción a las relaciones públicas		IRP	O	6			2
	Introducción al sector audiovisual		ISA	O	6			3
	Introducción al periodismo		IP	O	6			1
	Técnicas de relaciones públicas		TRP	O	6			5
	Expresión oral y escrita		EOR	O	6			2
	Diseño visual y expresión gráfica		DVEG	O	6			5
	Cultura de la imagen		CI	O	6			4
	Sistemas y procesos de la publicidad		SPP	O	6			6
	Sistemas y procesos de las relaciones públicas		SPRP	O	6			4
	Técnicas de redacción periodística		TRP	O	6			3
	Ejercicio de la profesión periodística		EPP	O	6			6
	Creatividad publicitaria		CP	O	6			5
	Guión audiovisual		GA	O	6			6
	Taller de redacción publicitaria		TRP	OP	6			6, 7 u 8
	Dirección de arte		DA	OP	6			6, 7 u 8
	Comunicación persuasiva en medios digitales		CPMD	OP	6			6, 7 u 8
	Realización audiovisual		RA	OP	6			6, 7 u 8
	Dirección de cuentas y planificación estratégica		DCPE	OP	6			6, 7 u 8
	Planificación de medios publicitarios		PMP	OP	6			6, 7 u 8
	Taller de proyectos de relaciones públicas		TPRP	OP	6			6, 7 u 8
	Organización de eventos y protocolo		OEP	OP	6			6, 7 u 8
	Comunicación política e instituciona		CPI	OP	6			6, 7 u 8
	Comunicación de crisis y RSC		CCRSC	OP	6			6, 7 u 8
	Lobbismo y grupos de influencia		LGI	OP	6			6, 7 u 8
	Estética digital y media art		EDMA	OP	6			6, 7 u 8
	Diseño y creación sonora		DCS	OP	6			6, 7 u 8
	Montaje audiovisual		MA	OP	6			6, 7 u 8
	Taller de audiovisual experimental		TAE	OP	6			6, 7 u 8
	Producción y distribución multiplataforma		PDM	OP	6			6, 7 u 8
	Periodismo de investigación y datos		PID	OP	6			6, 7 u 8
	Periodismo especializado		PE	OP	6			6, 7 u 8
	Infografía y visualización		IV	OP	6			6, 7 u 8
	Taller de fotografía		TF	OP	6			6, 7 u 8
	Taller de periodismo transmedia		TPT	OP	6			6, 7 u 8
	Animación		A	OP	6			6, 7 u 8
	Prácticum		P	OP	6			6, 7 u 8
	Diseño del Trabajo Final de Grado		DTFG	O	6			7
	TFG		TFG	O	6			8
	Asignatura fantasma							
