num	competencias	tipo
1	1. Capacidad para trabajar en equipo	
2	2. Capacidad de análisis crítico e interpretación del entorno	
3	3. Capacidad de creatividad e innovación	
4	4. Capacidad de liderazgo	
5	5. Capacidad para aprender y actualizarse permanentemente	
6	6. Capacidad para pensar estratégicamente	
7	7. Capacidad de comunicación interpersonal	
8	8. Capacidad de uso y aplicación de las TIC en el ámbito académico y profesional	
9	9. Capacidad de comunicación en lengua extranjera (inglés)	
10	10. Búsqueda, gestión y uso de la información	
11	11. Capacidad emprendedora	
12	12. Conocimiento del mercado y del entorno profesional	
13	13. Conocimiento del mundo empresarial e institucional (procesos y funciones de las organizaciones)	
14	14. Capacidad de análisis crítica del contexto social y de las estructuras de las industrias culturales y comunicativas	
15	15. Capacidad de comunicar de forma oral, escrita y audiovisual (promoción, información, creación, persuasión, negociación)	
16	16. Uso y aplicación de técnicas y lenguajes propios de los diferentes medios de comunicación	
17	17. Capacidad para traducir el mensaje a comunicar en un mensaje persuasivo	
18	18. Capacidad de adaptación a los lenguajes específicos de los medios/soportes y de los públicos objetivos.	
19	19. Conocimiento de todas las fases de producción y de explotación del producto audiovisual así como de los medios técnicos implicados	
20	20. Capacidad de identificar posibilidades de aplicación de herramientas y tecnologías en productos, servicios y proyectos de comunicación	
21	21. Capacidad de identificar los recursos materiales y humanos necesarios para un proyecto	
22	22. Capacidad de idear, planificar, ejecutar y evaluar proyectos comunicativos a partir de una tarea previa de búsqueda de información	
23	23. Capacidad de editar contenidos multimedia.	
24	24. Capacidad de aplicar las normativas legales que afectan al sector de la comunicación	
25	25. Capacidad de interpretar planes de marketing y comunicación	
26	26. Capacidad de ejecutar presupuestos	
27	27. Capacidad de ejercer la profesión de acuerdo con los principios éticos y el código deontológico	
28	28. Capacidad de construir guiones y documentos de trabajos en formatos normalizados para la industria del sector (guión)	
29	Competencia fantasma	
