		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	Competencia fantasma
1	Comunicación y sociedad		1	1		1									1	1														
2	Fuentes de información y documentación digital					1			1			1																		
3	Pensamiento creativo	1		1		1	1					1				1	1	1	1											
4	Lengua y comunicación																1	1	1											
5	Audiencias y consumos		1	1		1	1		1			1	1		1	1	1	1			1									
6	Empresa y marketing 		1		1		1							1																
7	Idioma moderno I: Inglés B2.1							1		1																				
8	Competencias TIC en comunicación	1							1			1																		
9	Régimen jurídico de la comunicación		1			1									1										1			1		
10	Iniciativa emprendedora				1						1	1															1			
11	Idioma moderno II: Inglés B2.2 							1		1																				
12	Teorías de la comunicación	1	1			1						1	1	1	1					1			1							
13	Proyectos audiovisuales 	1					1						1	1	1					1	1	1	1		1		1			
14	Storytelling y recursos narrativos			1								1				1	1	1	1											
15	Comunicación y contenidos en social media					1			1			1					1		1	1	1			1						
16	Introducción a la publicidad	1	1			1	1					1	1	1	1						1		1			1				
17	Introducción a las relaciones públicas	1	1	1	1	1	1	1						1	1	1	1	1	1				1			1		1		
18	Introducción al sector audiovisual		1			1						1			1															
19	Introducción al periodismo											1					1											1		
20	Técnicas de relaciones públicas						1	1						1		1	1	1	1				1			1				
21	Expresión oral y escrita							1								1	1	1	1											
22	Diseño visual y expresión gráfica			1					1	1							1		1					1						
23	Cultura de la imagen														1	1	1													
24	Sistemas y procesos de la publicidad		1			1	1					1	1	1	1					1		1			1	1	1			
25	Sistemas y procesos de las relaciones públicas					1						1		1	1						1	1	1							
26	Técnicas de redacción periodística											1				1			1					1						
27	Ejercicio de la profesión periodística		1												1								1							
28	Creatividad publicitaria	1		1		1	1					1				1	1	1	1				1						1	
29	Guión audiovisual	1		1												1	1		1				1						1	
30	Taller de redacción publicitaria		1	1	1			1	1			1	1			1	1	1	1			1		1		1		1		
31	Dirección de arte		1	1			1	1				1				1	1	1	1						1	1		1	1	
32	Comunicación persuasiva en medios digitales			1					1							1	1		1					1						
33	Realización audiovisual			1				1									1		1											
34	Dirección de cuentas y planificación estratégica		1		1		1					1	1	1	1							1	1			1	1			
35	Planificación de medios publicitarios		1			1	1					1	1	1	1						1				1	1	1			
36	Taller de proyectos de relaciones públicas			1			1											1				1	1				1			
37	Organización de eventos y protocolo	1	1	1		1	1	1						1	1	1	1	1	1				1		1	1				
38	Comunicación política e instituciona		1	1	1	1	1	1						1	1	1	1	1	1				1		1	1		1		
39	Comunicación de crisis y RSC			1			1									1		1					1		1			1		
40	Lobbismo y grupos de influencia						1							1		1		1					1							
41	Estética digital y media art			1											1		1							1						
42	Diseño y creación sonora	1		1					1							1	1		1	1				1						
43	Montaje audiovisual			1												1	1		1	1	1			1						
44	Taller de audiovisual experimental			1					1			1					1			1				1						
45	Producción y distribución multiplataforma					1							1	1	1					1	1	1	1		1					
46	Periodismo de investigación y datos		1						1														1							
47	Periodismo especializado		1												1				1				1							
48	Infografía y visualización			1					1	1							1		1					1						
49	Taller de fotografía			1					1							1	1							1						
50	Taller de periodismo transmedia					1			1								1		1		1		1							
51	Animación			1					1			1					1			1				1						
52	Prácticum	1	1			1	1	1	1		1		1	1			1				1	1	1					1		
53	Diseño del Trabajo Final de Grado		1	1			1		1		1	1				1							1							
54	TFG		1	1			1		1			1			1	1							1							
55	Asignatura fantasma																													
