Código	Nombre	Abreviatura	Siglas	Tipo	Créditos	Módulo	Materia	Semestre relativo
	Idioma moderno I: Inglés I		ING1	B	6			2
	Idioma moderno II: Inglés II		ING2	B	6			3
	Uso y aplicación de las TIC		ATIC	B	6			1
	Técnicas de expresión, argumentación y negociación		TEAN	B	6			2
	Derecho público		DPUB	B	6			2
	Política y sociedad		PSOC	B	6			1
	Introducción al derecho		IDER	B	6			1
	Introducción a la sociología		ISOC	B	6			1
	Introducción a la psicología		IPSI	B	6			2
	Fundamentos de criminología		FCRI	B	6			1
	Derecho penal, parte general		DPPP	O	6			3
	Derecho penal, parte especial		DPPE	O	6			4
	Ejecución y derecho penitenciario		EDP	O	6			4
	Proceso penal		PPEN	O	6			5
	Teorías criminológicas I		TCRI1	O	6			3
	Teorías criminológicas II		TCRI2	O	6			4
	Fenomenología de la criminalidad		FCRI	O	6			5
	Política criminal		POLC	O	6			5
	Victimología		VIC	O	6			6
	Políticas públicas de seguridad y prevención		PPSP	O	6			8
	Predicción, prevención y tratamiento de la conducta delictiva		PPTC	O	6			7
	Penología		PEN	O	6			7
	Delincuencia juvenil		DJUV	O	6			7
	Género y delincuencia		GDEL	O	4			8
	Sociología del derecho		SDER	O	6			4
	Desviación y control social		DCS	O	6			6
	Bases psicosociales en criminología		BSC	O	6			3
	Psicología criminal		PSIC	O	6			5
	Medicina legal y forense		MLF	O	6			7
	Metodología de las ciencias sociales		MCS	O	4			2
	Métodos cuantitativos de investigación en criminología		MCNC	O	6			3
	Métodos cualitativos de investigación en criminología		MCLC	O	4			6
	Análisis de datos		ADAT	O	6			4
	Prácticum		PRA	O	4			8
	Trabajo final de grado		TFG	O	6			8
	Aplicación y evaluación de programas y políticas de seguridad y prevención		AEPP	OP	4			5, 6, 7 u 8
	Delincuencia y TICs		DTIC	OP	4			5, 6, 7 u 8
	Delincuencia organizada		DORG	OP	4			5, 6, 7 u 8
	Drogas y delincuencia		DROD	OP	4			5, 6, 7 u 8
	Delincuencia sexual y violencia		DSV	OP	4			5, 6, 7 u 8
	Delincuencia económica		DELE	OP	4			5, 6, 7 u 8
	Delincuencia y marginalidad		DELM	OP	4			5, 6, 7 u 8
	Intervención social y educativa con el delincuente		ISED	OP	4			5, 6, 7 u 8
	Seguridad privada		SPRI	OP	4			5, 6, 7 u 8
	Sistema policial		SISP	OP	4			5, 6, 7 u 8
	Psicología del testimonio		PSIT	OP	4			5, 6, 7 u 8
	Psicología jurídica		PSIJ	OP	4			5, 6, 7 u 8
	Solución alternativa de conflictos y justicia restaurativa		SACJ	OP	4			5, 6, 7 u 8
	Justicia juvenil		JJ	OP	4			5, 6, 7 u 8
	Criminalística		CRI	OP	4			5, 6, 7 u 8
	Derechos humanos		DH	OP	4			5, 6, 7 u 8
	Asignatura fantasma							
