num	competencias	tipo
1	1. Que los estudiantes hayan demostrado poseer y comprender conocimientos en un área de estudio que parte de la base de la educación secundaria general, y se suele encontrar a un nivel que, si bien se apoya en libros de texto avanzados, incluye también algunos aspectos que implican conocimientos procedentes de la vanguardia de su campo de estudio.	
2	2. Que los estudiantes sepan aplicar sus conocimientos a su trabajo o vocación de una forma profesional y posean las competencias que suelen demostrarse por medio de la elaboración y defensa de argumentos y la resolución de problemas dentro de su área de estudio.	
3	3. Que los estudiantes tengan la capacidad de reunir e interpretar datos relevantes (normalmente dentro de su área de estudio) para emitir juicios que incluyan una reflexión sobre temas relevantes de índole social, científica o ética.	
4	4. Que los estudiantes puedan transmitir información, ideas, problemas y soluciones a un público tanto especializado como no especializado.	
5	5. Que los estudiantes hayan desarrollado aquellas habilidades de aprendizaje necesarias para emprender estudios posteriores con un alto grado de autonomía.	
6	6. Uso y aplicación de las TIC’s en el ámbito social y académico.	
7	7. Ser capaz de analizar, organizar y planificar la actividad profesional de manera óptima.	
8	8. Ser capaz de resolver situaciones conflictivas o problemáticas con decisión y criterios claros.	
9	9. Comunicarse correctamente, oralmente y por escrito, tanto en las lenguas propias como en una lengua extranjera.	
10	10. Incorporar la metodología de trabajo en equipo en ambientes multidisciplinares	
11	11. Ser capaz de liderar equipos de trabajo de manera creativa y adquirir iniciativa para elaborar propuestas.	
12	12. Capacidad de innovar en el seno de las organizaciones	
13	13. Aprender de forma autónoma y adaptarse a nuevas situaciones.	
14	14. Capacidad para realizar informes y trabajos de manera estructurada, conforme a la metodología propia de la disciplina.	
15	15. Desarrollar la actividad criminológica conforme a los principios constitucionales, derechos fundamentales y libertades públicas.	
16	16. Analizar el fenómeno criminal desde una perspectiva empírica e interdisciplinaria.	
17	17. Capacidad para emplear eficazmente las técnicas de investigación cualitativas y cuantitativas en el análisis y evaluación de la criminalidad.	
18	18. Situar el fenómeno criminal en el contexto personal, social y jurídico en el que se desarrolla.	
19	19. Diagnosticar el fenómeno criminal aplicando las diversas posiciones de las teorías criminológicas.	
20	20. Aprender a diseñar, aplicar y evaluar políticas de seguridad y prevención de la delincuencia.	
21	21. Ser capaz de diseñar, aplicar y evaluar medidas de intervención en la persona del infractor.	
22	22. Aprender a diseñar, aplicar y evaluar medidas de protección y asistencia a las víctimas.	
23	23. Informar y asesorar sobre los diferentes sistemas de prevención y reacción al delito.	
24	24. Capacidad para emplear eficazmente medios alternativos de solución de conflictos y de justicia restaurativa.	
25	25. Ser capaz de informar y asesorar en materia de medidas penales alternativas y ejecución de penas.	
26	26. Aprender a diseñar y aplicar respuestas específicas en función del tipo de delincuencia.	
27	27. Aportar información y conocimiento criminológico al análisis de una situación o caso concreto.	
28	Competencia fantasma	
