Código	Nombre	Abreviatura	Siglas	Tipo	Créditos	Módulo	Materia	Semestre relativo
	Introducción a la macroeconomía		IMAC	B	6			1 o 2
	Introducción a la microeconomía		IMIC	B	6			1 o 2
	Fundamentos de matemáticas		FM	B	6			1 o 2
	Fundamentos de estadística		FEST	B	6			1 o 2
	Sociología		SOC	B	6			1 o 2
	Historia económica		HE	B	6			1 o 2
	Introducción a la empresa		IEMP	B	6			1 o 2
	Introducción a las competencias TIC		ICTIC	B	6			1 o 2
	Idioma moderno I: Inglés		ING1	B	6			1 o 2
	Política y sociedad		PYS	B	6			1 o 2
	Introducción a Info. financiera de la empresa		IIFE	O	6			3, 4, 5, 6, o 7
	Macroeconomía		MACR	O	6			3, 4, 5, 6, o 7
	Microeconomía		MICR	O	6			3, 4, 5, 6, o 7
	Economía del trabajo I		ETR1	O	6			3, 4, 5, 6, o 7
	Estadística aplicada		ESTA	O	6			3, 4, 5, 6, o 7
	Introducción a la econometría		IECO	O	6			3, 4, 5, 6, o 7
	Econometría		ECO	O	6			3, 4, 5, 6, o 7
	Optimización		OPT	O	6			3, 4, 5, 6, o 7
	Políticas económicas estructurales		PEE	O	6			3, 4, 5, 6, o 7
	Política económica coyuntural		PEC	O	6			3, 4, 5, 6, o 7
	Evaluación de políticas públicas		EPP	O	6			3, 4, 5, 6, o 7
	Economía del sector público		ESP	O	6			3, 4, 5, 6, o 7
	Sistema fiscal		SF	O	6			3, 4, 5, 6, o 7
	Derecho tributario		DT	O	6			3, 4, 5, 6, o 7
	Teoría económica y sociedad		TES	O	6			3, 4, 5, 6, o 7
	Economía internacional: Comercio		EIC	O	6			3, 4, 5, 6, o 7
	Economía internacional: Finanzas		EIF	O	6			3, 4, 5, 6, o 7
	Estructura económica espaóla		EEE	O	6			3, 4, 5, 6, o 7
	Estructura económica mundial		EEM	O	6			3, 4, 5, 6, o 7
	Historia del pensamiento económico		HPE	O	6			3, 4, 5, 6, o 7
	Idioma moderno II: Inglés		ING2	O	6			3, 4, 5, 6, o 7
	Trabajo final de grado TFG		TFG	O	6			3, 4, 5, 6, o 7
	Microeconomía avanzada		MICRA	OP	6			7 u 8
	Macroeconomía avanzada		MACRA	OP	6			7 u 8
	Geografía económica		GE	OP	6			7 u 8
	Nuevos factores de competitividad		NFC	OP	6			7 u 8
	Economía industrial		EIND	OP	6			7 u 8
	Dirección estratégica		DEST	OP	6			7 u 8
	International management		INTM	OP	6			7 u 8
	Economía de la Innovación		EINN	OP	6			7 u 8
	Economía ecológica		EECO	OP	6			7 u 8
	Alternativas económicas		ALTE	OP	6			7 u 8
	Desarrollo económico		DECO	OP	6			7 u 8
	Temas actuales de política económica		TAPE	OP	6			7 u 8
	Desigualdad y justicia social		DJS	OP	6			7 u 8
	Fiscalidad internacional		FINT	OP	6			7 u 8
	Fiscalidad avanzada		FAVA	OP	6			7 u 8
	Economía del trabajo II		ETR2	OP	6			7 u 8
	El mercado de trabajo europeo		MTE	OP	6			7 u 8
	Políticas de ocupación		PO	OP	6			7 u 8
	Economía de la educación		EEDU	OP	6			7 u 8
	Trabajo y sociedad del conocimiento		TSC	OP	6			7 u 8
	Temas actuales del mercado de trabajo		TAMT	OP	6			7 u 8
	Teoría de juegos		TJ	OP	6			7 u 8
	Análisis de series temporales		AST	OP	6			7 u 8
	Prácticas I		PRA1	OP	6			7 u 8
	Prácticas II		PRA2	OP	6			7 u 8
	Asignatura fantasma							
