num	competencias	tipo
1	1. Que los estudiantes hayan demostrado poseer y comprender conocimientos en un área de estudio que parte de la base de la educación secundaria general, y se suele encontrar a un nivel que, si bien se apoya en libros de texto avanzados, incluye también algunos aspectos que implican conocimientos procedentes de la vanguardia de su campo de estudio.	
2	2. Que los estudiantes sepan aplicar sus conocimientos a su trabajo o vocación de una forma profesional y posean las competencias que suelen demostrarse por medio de la elaboración y defensa de argumentos y la resolución de problemas dentro de su área de estudio.	
3	3. Que los estudiantes tengan la capacidad de reunir e interpretar datos relevantes (normalmente dentro de su área de estudio) para emitir juicios que incluyan una reflexión sobre temas relevantes de índole social, científica o ética.	
4	4. Que los estudiantes puedan transmitir información, ideas, problemas y soluciones a un público tanto especializado como no especializado.	
5	5. Que los estudiantes hayan desarrollado aquellas habilidades de aprendizaje necesarias para emprender estudios posteriores con un alto grado de autonomía.	
6	6. Contribuir a una asignación de recursos eficiente y equitativa, tanto en el ámbito particular como colectivo.	
7	7. Adoptar actitudes y comportamientos de acuerdo con una práctica profesional ética y responsable.	
8	8. Utilizar y aplicar las tecnologías de la información y la comunicación en los ámbitos académico y profesional.	
9	9. Buscar, identificar, organizar y utilizar adecuadamente la información.	
10	10. Analizar de manera crítica y sintética.	
11	11. Comunicar correctamente, por escrito u oralmente, tanto en las lenguas propias como en una lengua extranjera.	
12	12. Trabajar en equipo y en red en entornos multidisciplinares.	
13	13. Argumentar, negociar y mediar.	
14	14. Analizar, organizar y planificar la actividad profesional de manera óptima.	
15	15. Aprender de manera autónoma a investigar e innovar.	
16	16. Identificar y seleccionar la información cuantitativa y cualitativa de carácter relevante para el análisis y la práctica económica.	
17	17. Interpretar y utilizar la información económica cuantitativa y cualitativa de carácter relevante para la toma de decisiones.	
18	18. Aplicar las principales técnicas instrumentales propias del análisis económico.	
19	19. Manejar los principales conceptos, modelos, técnicas de representación y análisis de la realidad económica.	
20	20. Analizar cuál ha sido el origen y la evolución de los grandes problemas económicos.	
21	21. Analizar el funcionamiento de los mercados en diferentes escenarios de interrelación y en distintos horizontes temporales.	
22	22. Analizar y revisar los conceptos relativos a los objetivos y los instrumentos de política económica.	
23	23. Evaluar la estructura y el funcionamiento del sector público y proponer acciones que mejoren estos aspectos.	
24	24. Formular políticas que mejoren la eficiencia y la equidad de la economía.	
25	25. Evaluar críticamente las consecuencias de distintas alternativas de acción y diseñar medidas en relación a la selección de las más adecuadas en función de los objetivos.	
26	26. Elaborar informes económicos que contribuyan al proceso de toma de decisiones tanto en el ámbito público como privado.	
27	27. Evaluar la evolución de los grandes problemas de una economía a través del pensamiento económico.	
28	28. Analizar la interacción de los grandes problemas económicos con los factores no económicos y sus consecuencias.	
29	29. Enjuiciar críticamente el marco social, político, institucional y legal en el que se desarrolla la actividad económica.	
30	30. Competencia fantasma	
