Código	Nombre	Abreviatura	Siglas	Tipo	Créditos	Módulo	Materia	Semestre relativo
	Psicología de la percepción y la emoción		PPE	B	6			1
	Psicología de la atención y la memoria		PAM	B	6			2
	Psicología del aprendizaje y la motivación		PAPM	O	6			3
	Psicología del lenguaje		PL	O	6			5
	Psicología del pensamiento		PPEN	O	6			6
	Psicología del desarrollo: infancia		PINF	B	6			1
	Psicología del desarrollo: adolescencia, juventud, edad adulta y envejecimiento		PADO	O	6			2
	Trastornos del desarrollo		TD	OP	6			7 u 8
	Procesos psicosociales elementales		PPSIE	B	6			1
	Procesos y contextos de diferenciación social		PCDS	O	6			2
	Procesos grupales y acción colectiva		PGAC	O	6			3
	Fundamentos de investigación en Psicología		FIP	B	6			1
	Psicobiología I		PBIO1	B	6			2
	Psicobiología II		PBIO2	B	6			3
	ePsicología		EPSI	O	6			1
	Psicología de la salud		PSAL	B	6			5
	Psicología de la educación y de la institución		PEI	O	6			4
	Principios de intervención en educación		PIE	O	6			5
	Dificultades de aprendizaje en la educación escolar		DAEE	OP	6			7 u 8
	Investigación cuantitativa		ICUAN	B	6			2
	Investigación cualitativa		ICUAL	O	6			4
	Psicometría		PMIA	O	6			3
	Evaluación psicológica		EVAP	O	6			5
	Personalidad y diferencias individuales		PDI	O	6			4
	Psicopatología de adultos		PADU	O	6			6
	Psicopatología infantojuvenil: evaluación e intervención		PIEE	O	6			6
	Psicología de las organizaciones		PORG	O	6			5
	Psicología y trabajo en el siglo XXI		PXXI	OP	6			7 u 8
	Psicología del puesto de trabajo y del desarrollo profesional		PPTDP	OP	6			7 u 8
	Cultura, cambio y desarrollo organizacional		CCDO	OP	6			7 u 8
	Ética, sostenibilidad y diversidad en las organizaciones		ESDO	OP	6			7 u 8
	Psicología fisiológica		PFIS	O	6			4
	Historia de la psicología		HISP	O	6			4
	Intervención en contextos de educación formal		ICEF	OP	6			7 u 8
	Intervención en contextos de educación no formal		ICENF	OP	6			7 u 8
	Técnicas de intervención y tratamiento psicológico		TITP	O	6			7
	Terapia cognitivo-conductual		TCC	OP	6			7 u 8
	Terapias humanistas y psicodinámicas		THP	OP	6			7 u 8
	Terapia familiar sistémica		TFS	OP	6			7 u 8
	Contextos y estrategias de intervención social		CEIS	O	6			6
	Conflicto y mediación		CMED	OP	6			7 u 8
	Psicología comunitaria		PCOM	OP	6			7 u 8
	Psicología urbana y ambiental		PURB	OP	6			7 u 8
	Ámbitos profesionales en psicología		APPSI	O	6			6
	Practicum I		PRA1	O	6			7
	Practicum II		PRA2	O	6			8
	Trabajo final de grado		TFG	O	6			8
	Información y competencia digital en psicología		ICDP	OP	6			7 u 8
	Psicología jurídica		PJUR	OP	6			7 u 8
	Psicología del testimonio		PTES	OP	6			7 u 8
	Bases farmacológicas en psicopatología		BFP	OP	6			7 u 8
	Neuropsicología		NEU	OP	6			7 u 8
	Inglés B2.1		ING1	B	6			3
	Inglés B2.2		ING2	O	6			7
	Asignatura fantasma							
