num	competencias	tipo
1	1. Que los estudiantes hayan demostrado poseer y comprender conocimientos en un área de estudio que parte de la base de la educación secundaria general, y se suele encontrar a un nivel que, si bien se apoya en libros de texto avanzados, incluye también algunos aspectos que implican conocimientos procedentes de la vanguardia de su campo de estudio.	
2	2. Que los estudiantes sepan aplicar sus conocimientos a su trabajo o vocación de una forma profesional y posean las competencias que suelen demostrarse por medio de la elaboración y defensa de argumentos y la resolución de problemas dentro de su área de estudio.	
3	3. Que los estudiantes tengan la capacidad de reunir e interpretar datos relevantes (normalmente dentro de su área de estudio) para emitir juicios que incluyan una reflexión sobre temas relevantes de índole social, científica o ética.	
4	4. Que los estudiantes puedan transmitir información, ideas, problemas y soluciones a un público tanto especializado como no especializado.	
5	5. Que los estudiantes hayan desarrollado aquellas habilidades de aprendizaje necesarias para emprender estudios posteriores con un alto grado de autonomía.	
6	6. Escribir y hablar de manera correcta, clara y adecuada a los diversos contextos académicos y/o profesionales.	
7	7. Aprender a aprender: conducir el propio aprendizaje de manera autorregulada y consciente de las propias habilidades capacidades y motivaciones, con un objetivo determinado y en función del contexto específico-académico, profesional y personal.	
8	8. Buscar, identificar, organizar, analizar, evaluar y utilizar adecuadamente la información.	
9	9. Leer de forma crítica la bibliografía científica, evaluando su procedencia, situándola dentro de un marco epistemológico e identificando y contrastando sus aportaciones en relación con el conocimiento disciplinario disponible.	
10	10. Analizar, sintetizar y hacer juicios fundamentados en criterios autocorrectivos y sensibles al contexto.	
11	11. Identificar, organizar y planificar las acciones para asegurar que un objetivo se logra de manera eficiente.	
12	12. Resolver situaciones complejas analizando los comportamientos, encontrando alternativas de resolución y llegando al consenso sobre su aplicación, y evaluar los resultados de su implementación.	
13	13. Reconocer, comprender y respetar la complejidad de la diversidad.	
14	14. Ser sensible a las necesidades y expectativas de los otros, de los contextos y a las influencias que puedan producirse.	
15	15. Trabajar en equipo en red.	
16	16. Demostrar un nivel B2 (Marco europeo común de referencia para las lenguas) de un idioma moderno en la comprensión y producción de textos orales y escritos en un contexto académico y profesional.	
17	17. Utilizar y aplicar las tecnologías digitales en el ámbito académico y profesional.	
18	18. Actuar de manera honesta, ética, sostenible, socialmente responsable y respetuosa con los derechos humanos y la diversidad, tanto en la práctica académica como en la profesional.	
19	19. Usar los conocimientos teóricos y los avances de la psicología como marco de referencia para analizar, comprender y explicar el comportamiento de las personas, grupos y organizaciones.	
20	20. Identificar, analizar y comprender los factores biológicos, psicológicos, sociales y culturales que explican el comportamiento de las personas, grupos y organizaciones.	
21	21. Reflexionar sobre el impacto que tiene el objeto de estudio en las explicaciones teóricas y las metodologías utilizadas.	
22	22. Entender el funcionamiento cognitivo de una forma integrada.	
23	23. Identificar, analizar y comprender los procesos, las etapas principales y los contextos de desarrollo psicológico a lo largo del ciclo vital.	
24	24. Identificar, analizar y comprender la incidencia de las prácticas educativas sobre el desarrollo humano.	
25	25. Identificar y comprender los procesos de cambio y desarrollo en ámbitos laborales y organizacionales.	
26	26. Identificar, analizar y comprender las demandas y las necesidades de personas, grupos y organizaciones en diferentes contextos.	
27	27. Formular objetivos y contrastar hipótesis a partir de las demandas y necesidades de los destinatarios.	
28	28. Valorar, contrastar y tomar decisiones sobre la elección de los modelos, teorías, instrumentos y técnicas más adecuadas en cada contexto de evaluación e intervención.	
29	29. Aplicar técnicas para recoger información sobre el funcionamiento biológico, psicológico y social de individuos, colectivos y organizaciones.	
30	30. Analizar e interpretar los resultados de la evaluación psicológica.	
31	31. Mostrar flexibilidad, respeto y discreción en la comunicación y el uso de los resultados obtenidos de las evaluaciones psicológicas a las personas o grupos.	
32	32. Diseñar, implementar y evaluar un plan de intervención con objetivos plausibles que atienda a las necesidades de personas, grupos, comunidades y organizaciones.	
33	33. Redactar informes técnicos y científicos sobre los resultados de la evaluación, la investigación o los servicios solicitados, teniendo en cuenta el código ético y deontológico de la profesión.	
34	34. Competencia fantasma	
