Código	Nombre	Abreviatura	Siglas	Tipo	Créditos	Módulo	Materia	Semestre relativo
	Escritura académica		EA	B	6			1
	Inglés B2.1		I1	B	6			1
	Inglés B2.2		I2	B	6			2
	Introducción a la sociología		IS	B	6			1
	Política y sociedad		PS	B	6			1
	Introducción a la economía		IE	B	6			2
	Historia política y social contemporánea		HPSC	B	6			2
	Antropología social y cultural		ASC	B	6			2
	Psicología social		PSIS	B	6			2
	Estructura económica		EE	B	6			3
	Metodología de las ciencias sociales		MCS	O	6			3
	Fundamentos de la investigación cuantitativa		FIC	O	6			4
	Fundamentos de la investigación cualitativa		FICL	O	6			4
	Análisis y visualización de datos cuantitativos		AVDC	O	6			5
	Análisis e interpretación de datos cualitativos		AIDC	O	6			5
	Análisis de redes y big data		ARBD	O	6			6
	Teoría sociológica clásica		TSCL	O	6			1
	Teoría sociológica contemporánea		TSCO	O	6			3, 6, 7 u 8
	Estratificación social y desigualdad		ESD	O	6			3
	Estructura social en perspectiva comparada		ESPC	O	6			3, 6, 7 u 8
	Cambio social a escala local y global		CSEG	O	6			5
	Género y sexualidad		GS	O	6			6
	Etnicidad, migraciones y ciudadanía		EMC	O	6			7
	Política social		POS	O	6			3
	Evaluación de programas y políticas públicas		EPPP	O	6			6
	Demografía		D	O	6			5
	Sociología urbana		SU	O	6			5
	Familia y nuevas formas de convivencia		FNFC	O	6			8
	Sociología del consumo		SC	O	6			3, 6, 7 u 8
	Sociología de la cultura		SCUL	O	6			7
	Sociología del trabajo		STBJ	O	6			8
	Sociedad digital		SD	O	6			6
	Transiciones ecosociales		TE	O	6			7
	Seminario de temáticas sociológicas emergentes		STSE	O	6			8
	Sociología de la educación		SEDU	OP	6			3, 6, 7 u 8
	Sociología de la vulnerabilidad		SVUL	OP	6			3, 6, 7 u 8
	Sociología de la religión		SREL	OP	6			3, 6, 7 u 8
	Ciencia y tecnología en la sociedad contemporánea		CTSC	OP	6			3, 6, 7 u 8
	Sociología de las organizaciones		SORG	OP	6			3, 6, 7 u 8
	Introducción al derecho		IDER	OP	6			3, 6, 7 u 8
	Mundo actual		MACT	OP	6			3, 6, 7 u 8
	Sistema político español		SPE	OP	6			3, 6, 7 u 8
	Pensamiento político		PPOL	OP	6			3, 6, 7 u 8
	Acción colectiva		ACOL	OP	6			3, 6, 7 u 8
	Mediación y resolución de conflictos		MRC	OP	6			3, 6, 7 u 8
	Competencias TIC en las Ciencias Humanas y Sociales		CCHS	OP	6			3, 6, 7 u 8
	Proyecto práctico profesional		PPP	OP	6			3, 6, 7 u 8
	Trabajo Final de Grado I		TFGI	O	6			7
	Trabajo Final de Grado II		TFGII	O	6			8
	Asignatura fantasma							
