num	competencias	tipo
1	1. Que los estudiantes hayan demostrado poseer y comprender conocimientos en un área de estudio que parte de la base de la educación secundaria general, y se suele encontrar a un nivel que, si bien se apoya en libros de texto avanzados, incluye también algunos aspectos que implican conocimientos procedentes de la vanguardia de su campo de estudio	
2	2. Que los estudiantes sepan aplicar sus conocimientos a su trabajo o vocación de una forma profesional y posean las competencias que suelen demostrarse por medio de la elaboración y defensa de argumentos y la resolución de problemas dentro de su área de estudio	
3	3. Que los estudiantes tengan la capacidad de reunir e interpretar datos relevantes (normalmente dentro de su área de estudio) para emitir juicios que incluyan una reflexión sobre temas relevantes de índole social, científica o ética	
4	4. Que los estudiantes puedan transmitir información, ideas, problemas y soluciones a un público tanto especializado como no especializado	
5	5. Que los estudiantes hayan desarrollado aquellas habilidades de aprendizaje necesarias para emprender estudios posteriores con un alto grado de autonomía	
6	6. Desarrollar actividades propias de la sociología de forma eficiente, comprometida, creativa y con un alto nivel de iniciativa	
7	7. Aplicar las técnicas de búsqueda, recuperación, tratamiento y presentación de la información	
8	8. Incorporar el pensamiento crítico formulando juicios argumentados en base a criterios fundamentados en el análisis, la síntesis y el contraste de evidencias o conceptualizaciones teóricas pertinentes	
9	9. Trabajar colaborativamente incorporando los principios de pragmatismo y responsabilidad para obtener mejores resultados de los que supondría un trabajo aislado.	
10	10. Producir textos orales y escritos claros, precisos, estructurados, correctos y adecuados en los diversos contextos académicos y/o profesionales propios de la especialidad	
11	11. Demostrar un nivel B2 (Marco europeo común de referencia para las lenguas) de un idioma moderno en la comprensión y producción de textos orales y escritos en un contexto académico y profesional	
12	12. Utilizar y aplicar las tecnologías digitales en el ámbito académico y profesional.	
13	13. Actuar de manera honesta, ética, sostenible, socialmente responsable y respetuosa con los derechos humanos y la diversidad, tanto en la práctica académica como en la profesional	
14	14. Identificar en los estudios o trabajos propios de la sociología sus antecedentes teóricos y sus aportaciones originales y aplicar sus principales perspectivas y conceptos teóricos en el análisis de la vida social	
15	15. Utilizar los conceptos y teorías más relevantes de las disciplinas afines a la sociología en el análisis de la realidad social, incorporando así una perspectiva pluridisciplinar	
16	16. Reconocer las claves analíticas del funcionamiento de las relaciones y vínculos entre individuos, grupos e instituciones sociales a escala local, nacional y global.	
17	17. Aplicar los conceptos que abordan las dinámicas de reproducción y cambio social ligados a la continuidad y dinamismo de los fenómenos sociales, con especial atención a las formas consolidadas y emergentes de diferenciación y desigualdad social en sus distintas vertientes	
18	18. Incorporar las especificidades de la perspectiva sociológica en los campos del trabajo, la cultura, la política pública, la educación, el medio ambiente y de las transformaciones poblacionales y territoriales	
19	19. Poner en diálogo tradiciones sociológicas no-occidentales con el pensamiento sociológico occidental actual y en relación al análisis de los retos globales actuales	
20	20. Localizar y generar datos empíricos relevantes a través de la utilización pertinente de las herramientas metodológicas tanto cuantitativas como cualitativas, sabiendo discernir las ventajas y limitaciones de cada herramienta en relación a preguntas de investigación concretas.	
21	21. Generar aportaciones significativas a partir de la vinculación entre argumentos teóricos y el análisis de datos empíricos.	
22	22. Intervenir con rigor técnico en el diseño y la evaluación de políticas públicas aplicadas tomando en consideración la naturaleza multifactorial de las necesidades y problemas sociales.	
23	23. Utilizar los conocimientos y herramientas de las ciencias sociales para intervenir profesionalmente en instituciones y organizaciones públicas, privadas y del tercer sector incorporando el valor añadido específico de la disciplina sociológica	
24	Competencia fantasma	
