Código	Nombre	Abreviatura	Siglas	Tipo	Créditos	Módulo	Materia	Semestre relativo
	Álgebra		ALG	B	6			1
	Lógica		LOG	B	6			1
	Inglés B2.1		ING1	OP	6			5
	Inglés B2.2		ING2	OP	6			6
	Trabajo en equipo en la Red		TER	B	6			1
	Competencia comunicativa para profesionales de las TIC		CCTIC	OP	6			5 o 6
	Empresa y gestión tecnológica		EGT	O	6			2
	Iniciativa emprendedora		IEMP	O	6			3
	Fundamentos de programación		FPRO	B	6			1
	Prácticas de programación		PPRO	B	6			2
	Diseño y programación orientada a objetos		DPOO	O	6			3
	Diseño de estructuras de datos		DED	O	6			4
	Lenguajes y estándares web		LEW	O	6			1
	Programación web		PWEB	B	6			2
	Programación web avanzada		PWEA	O	6			6
	Aplicaciones Interactivas Multiplataforma		AIM	OP	6			5
	Desarrollo de aplicaciones móviles		DAM	O	6			5
	Metodología del software		METS	B	6			2
	Análisis y diseño con patrones		ADP	O	6			3
	Arquitectura del software		ASOF	O	6			4
	Interacción persona ordenador		IPO	O	6			3
	Uso de bases de datos		UBD	O	6			4
	Diseño de bases de datos		DBD	O	6			5
	Sistemas operativos		SISO	O	6			3
	Sistemas distribuidos		SISD	OP	6			5 o 6
	Cloud computing		CCOM	O	6			5
	Redes y aplicaciones Internet		RAI	O	6			4
	Administración de redes y SO		ARSO	O	6			4
	Seguridad en redes de computadores		SRC	OP	6			5 o 6
	Comercio electrónico		ECOM	OP	6			5 o 6
	Fundamentos de computadores		FCOM	OP	6			5 o 6
	Estructura de computadores		ESTC	B	6			2
	Sistemas empotrados		SISE	OP	6			5 o 6
	Fundamentos de SI		FUSI	OP	6			5 o 6
	Prácticas en empresa		PRAE	OP	12			5 o 6
	Trabajo final de grado		TFG	O	12			6
	Asignatura fantasma							
