num	competencias	tipo
1	1. Que los estudiantes hayan demostrado poseer y comprender conocimientos en un área de estudio que parte de la base de la educación secundaria general, y se suele encontrar a un nivel que, si bien se apoya en libros de texto avanzados, incluye también algunos aspectos que implican conocimientos procedentes de la vanguardia de su campo de estudio	
2	2. Que los estudiantes sepan aplicar sus conocimientos a su trabajo o vocación de una forma profesional y posean las competencias que suelen demostrarse por medio de la elaboración y defensa de argumentos y la resolución de problemas dentro de su área de estudio	
3	3. Que los estudiantes tengan la capacidad de reunir e interpretar datos relevantes (normalmente dentro de su área de estudio) para emitir juicios que incluyan una reflexión sobre temas relevantes de índole social, científica o ética	
4	4. Que los estudiantes puedan transmitir información, ideas, problemas y soluciones a un público tanto especializado como no especializado	
5	5. Que los estudiantes hayan desarrollado aquellas habilidades de aprendizaje necesarias para emprender estudios posteriores con un alto grado de autonomía	
6	6. Uso y aplicación de las TIC en el ámbito académico y profesional	
7	7. Capacidad de comunicación en lengua extranjera	
8	8. Expresarse de forma escrita correctamente y con claridad, demostrando dominio del vocabulario específico del ámbito del desarrollo de software tanto en el entorno académico como profesional	
9	9. Trabajo en equipo	
10	10. Capacidad para adaptarse a las nuevas tecnologías de desarrollo y a los futuros entornos actualizando competencias profesionales	
11	11. Capacidad para identificar las características de los diferentes tipos de organizaciones y el papel que juegan las TIC en las mismas	
12	12. Capacidad para la evaluación de soluciones software y la elaboración de propuestas de proyectos de desarrollo teniendo en cuenta recursos, alternativas disponibles y condiciones de mercado	
13	13. Capacidad para comprender y utilizar las bases científicas del desarrollo de software para analizar cada problema en el nivel de abstracción adecuado a cada situación y aplicar las habilidades y conocimientos adquiridos para abordarlo y resolverlo	
14	14. Capacidad para identificar los elementos de la estructura y los principios de funcionamiento de un ordenador	
15	15. Conocer los fundamentos de los sistemas operativos y las redes de computadores para diseñar y desarrollar soluciones que tengan en cuenta las especificidades de cada plataforma, los recursos disponibles y compartidos, y la seguridad del sistema	
16	16. Capacidad de diseñar y construir aplicaciones informáticas mediante técnicas de desarrollo, integración y reutilización	
17	17. Aplicación de las técnicas específicas de ingeniería del software a las diferentes etapas del ciclo de vida de un proyecto	
18	18. Capacidad para aplicar las técnicas específicas de tratamiento, almacenamiento y administración de datos	
19	19. Capacidad para proponer y evaluar diferentes alternativas tecnológicas para resolver un problema de desarrollo de software concreto	
20	20. Capacidad para desarrollar aplicaciones para múltiples plataformas	
21	21. Capacidad para diseñar soluciones software centradas en las personas	
22	22. Capacidad de realizar de forma autónoma, presentar y defender un trabajo en el ámbito del Desarrollo de Software frente a un público experto	
23	Competencia fantasma	
